split,task,grade,fd_mean,fd_median,tsnr_median,gs_cv_pct_median,dvars_pct_median
test,rest10,Grade 1,0.1169,0.117,166.3636,0.0796,1.2529
test,rest10,Grade 2,0.2529,0.2426,139.1229,0.1323,1.4646
test,rest10,Grade 3,0.5652,0.5501,110.3701,0.3487,1.6595
test,rest10,Grade 4,1.2788,1.2895,64.6906,0.7578,3.1033
test,rest10,Grade 5,2.5394,2.5055,36.4792,1.0821,5.1263
test,rest10,Grade 6,4.6669,4.2152,28.1514,1.8751,6.7443
test,videos,Grade 1,0.1315,0.1322,154.6803,0.1029,1.2852
test,videos,Grade 2,0.263,0.2516,144.9412,0.1478,1.3487
test,videos,Grade 3,0.6094,0.5887,102.6283,0.2971,1.9147
test,videos,Grade 4,1.1974,1.1528,63.5851,0.6312,3.135
test,videos,Grade 5,2.3671,2.2937,45.5195,0.8859,4.2242
test,videos,Grade 6,4.9262,4.7703,23.5482,1.9721,7.3997
train,rest10,Grade 1,0.114,0.1138,164.2288,0.0784,1.2228
train,rest10,Grade 2,0.2531,0.2437,140.0573,0.1337,1.4217
train,rest10,Grade 3,0.5783,0.5586,109.2499,0.2634,1.7388
train,rest10,Grade 4,1.1556,1.1338,73.5826,0.4646,2.3728
train,rest10,Grade 5,2.4056,2.2946,48.9834,0.868,3.9852
train,rest10,Grade 6,4.9581,4.8406,29.3483,1.4924,6.3281
train,videos,Grade 1,0.1245,0.1255,157.9768,0.0981,1.3041
train,videos,Grade 2,0.2687,0.2586,137.6743,0.1479,1.4373
train,videos,Grade 3,0.606,0.5876,104.2753,0.2859,1.8287
train,videos,Grade 4,1.207,1.166,67.3208,0.5713,2.8227
train,videos,Grade 5,2.363,2.2896,43.8705,0.925,4.2285
train,videos,Grade 6,4.949,4.7456,25.207,1.897,7.0101
val,rest10,Grade 1,0.1195,0.1193,162.7705,0.0778,1.2419
val,rest10,Grade 2,0.249,0.2392,144.9879,0.137,1.3937
val,rest10,Grade 3,0.5774,0.5563,105.4237,0.2587,1.9789
val,rest10,Grade 4,1.1568,1.1015,70.3298,0.6509,2.9983
val,rest10,Grade 5,2.3386,2.2873,43.3984,0.9024,4.3963
val,rest10,Grade 6,5.3268,5.5646,22.8209,1.7315,7.3441
val,videos,Grade 1,0.1185,0.1184,163.7457,0.1131,1.1936
val,videos,Grade 2,0.2768,0.27,137.1724,0.1647,1.4322
val,videos,Grade 3,0.6029,0.586,105.3127,0.2822,1.835
val,videos,Grade 4,1.2006,1.1616,67.7855,0.5354,2.8246
val,videos,Grade 5,2.3967,2.3137,43.1143,0.983,4.464
val,videos,Grade 6,4.9262,4.5762,24.7954,1.7953,6.9286
