task,subject_id,age_group,split
videos,ICC103,2mo,train
videos,ICC103A,9mo,train
videos,ICC105,2mo,test
videos,ICC105A,9mo,train
videos,ICC107,2mo,train
videos,ICC107A,9mo,train
videos,ICC111,2mo,train
videos,ICC111A,9mo,train
videos,ICC113,2mo,train
videos,ICC113A,9mo,val
videos,ICC115,2mo,train
videos,ICC117,2mo,train
videos,ICC123,2mo,train
videos,ICC125,2mo,train
videos,ICC127,2mo,val
videos,ICC127A,9mo,train
videos,ICC131,2mo,test
videos,ICC133,2mo,test
videos,ICC133A,9mo,test
videos,ICC135,2mo,train
videos,ICC139,2mo,train
videos,ICC139A,9mo,test
videos,ICC141,2mo,train
videos,ICC145,2mo,test
videos,ICC145A,9mo,train
videos,ICC147,2mo,train
videos,ICC149,2mo,train
videos,ICC151,2mo,train
videos,ICC153,2mo,val
videos,ICC155,2mo,train
videos,ICC155A,9mo,train
videos,ICC157,2mo,train
videos,ICC159,2mo,test
videos,ICC161,2mo,test
videos,ICC163,2mo,train
videos,ICC165,2mo,val
videos,ICC167,2mo,train
videos,ICC169,2mo,val
videos,ICC177,2mo,test
videos,ICC179,2mo,test
videos,ICC179A,9mo,test
videos,ICC183,2mo,train
videos,ICC183A,9mo,train
videos,ICC185,2mo,train
videos,ICC187,2mo,test
videos,ICC189,2mo,val
videos,ICC191,2mo,val
videos,ICC191A,9mo,val
videos,ICC193,2mo,train
videos,ICC193A,9mo,val
videos,ICC195,2mo,train
videos,ICC197,2mo,train
videos,ICC199,2mo,train
videos,ICC201,2mo,train
videos,ICC201A,9mo,train
videos,ICC203,2mo,train
videos,ICC205,2mo,train
videos,ICC205A,9mo,train
videos,ICC207,2mo,train
videos,ICC211,2mo,val
videos,ICC213,2mo,train
videos,ICC217,2mo,val
videos,ICC221,2mo,train
videos,ICC223,2mo,train
videos,ICC225,2mo,train
videos,ICC227,2mo,val
videos,ICC229,2mo,train
videos,ICC23,2mo,val
videos,ICC233,2mo,test
videos,ICC235,2mo,train
videos,ICC237,2mo,train
videos,ICC239,2mo,train
videos,ICC239A,9mo,train
videos,ICC241,2mo,train
videos,ICC241A,9mo,test
videos,ICC243,2mo,val
videos,ICC243A,9mo,train
videos,ICC253,2mo,train
videos,ICC255,2mo,train
videos,ICC257,2mo,train
videos,ICC257A,9mo,train
videos,ICC37,2mo,train
videos,ICC43,2mo,test
videos,ICC43A,9mo,train
videos,ICC47,2mo,test
videos,ICC51,2mo,train
videos,ICC51A,9mo,train
videos,ICC53,2mo,train
videos,ICC53A,9mo,train
videos,ICC55,2mo,val
videos,ICC57,2mo,val
videos,ICC57A,9mo,train
videos,ICC59,2mo,train
videos,ICC59A,9mo,train
videos,ICC63,2mo,train
videos,ICC7,2mo,val
videos,ICC75,2mo,val
videos,ICC75A,9mo,train
videos,ICC7A,9mo,train
videos,ICC81,2mo,val
videos,ICC81A,9mo,test
videos,ICC83,2mo,train
videos,ICC83A,9mo,val
videos,ICC85,2mo,train
videos,ICC85A,9mo,test
videos,ICC87,2mo,test
videos,ICC89,2mo,train
videos,ICC91,2mo,train
videos,ICC93,2mo,train
videos,ICC97,2mo,train
videos,ICC97A,9mo,train
videos,ICN14,2mo,train
videos,ICN14A,9mo,train
videos,ICN18,2mo,test
videos,ICN2,2mo,train
videos,ICN2A,9mo,train
videos,ICN46,2mo,val
videos,ICN48,2mo,train
videos,ICN50,2mo,train
videos,ICN8,2mo,train
videos,ICN8A,9mo,train
videos,IRC109,2mo,train
videos,IRC119,2mo,val
videos,IRC119A,9mo,test
videos,IRC13,2mo,train
videos,IRC17,2mo,train
videos,IRC17A,9mo,train
videos,IRC19,2mo,train
videos,IRC19A,9mo,train
videos,IRC21,2mo,train
videos,IRC25,2mo,test
videos,IRC27,2mo,train
videos,IRC27A,9mo,train
videos,IRC29,2mo,train
videos,IRC29A,9mo,train
videos,IRC3,2mo,train
videos,IRC31,2mo,train
videos,IRC3A,9mo,train
videos,IRC41,2mo,train
videos,IRC41A,9mo,val
videos,IRC45,2mo,train
videos,IRC49,2mo,val
videos,IRC61,2mo,train
videos,IRC61A,9mo,test
videos,IRC67,2mo,train
videos,IRC67A,9mo,train
videos,IRC69,2mo,train
videos,IRC69A,9mo,train
videos,IRC9,2mo,train
videos,IRC99,2mo,train
videos,IRC9A,9mo,train
videos,IRN1,2mo,train
videos,IRN12,2mo,train
videos,IRN1A,9mo,train
videos,IRN20,2mo,train
videos,IRN20A,9mo,test
videos,IRN22,2mo,val
videos,IRN26,2mo,test
videos,IRN26A,9mo,train
videos,IRN30,2mo,val
videos,IRN32,2mo,train
videos,IRN34,2mo,train
videos,IRN36,2mo,test
videos,IRN42,2mo,test
videos,IRN42A,9mo,train
videos,IRN44,2mo,train
videos,IRN52,2mo,train
videos,IRN60,2mo,train
videos,IRN62,2mo,train
videos,IRN62A,9mo,train
videos,IRN64,2mo,train
videos,IRN66,2mo,train
videos,IRN68,2mo,train
videos,IRN68A,9mo,train
videos,IRN72,2mo,train
videos,IRN74,2mo,train
videos,IRN76,2mo,val
videos,IRN78,2mo,train
videos,ITT1,2mo,train
rest10,ICC103A,9mo,train
rest10,ICC105,2mo,train
rest10,ICC105A,9mo,test
rest10,ICC107,2mo,train
rest10,ICC107A,9mo,train
rest10,ICC111,2mo,train
rest10,ICC113,2mo,train
rest10,ICC115,2mo,val
rest10,ICC117,2mo,test
rest10,ICC123,2mo,val
rest10,ICC125,2mo,val
rest10,ICC127,2mo,test
rest10,ICC127A,9mo,train
rest10,ICC133,2mo,train
rest10,ICC133A,9mo,val
rest10,ICC135,2mo,train
rest10,ICC139,2mo,test
rest10,ICC141,2mo,train
rest10,ICC145,2mo,train
rest10,ICC147,2mo,test
rest10,ICC149,2mo,val
rest10,ICC153,2mo,train
rest10,ICC155,2mo,train
rest10,ICC157,2mo,train
rest10,ICC159,2mo,val
rest10,ICC163,2mo,train
rest10,ICC165,2mo,train
rest10,ICC169,2mo,train
rest10,ICC177,2mo,train
rest10,ICC179,2mo,train
rest10,ICC179A,9mo,train
rest10,ICC183,2mo,train
rest10,ICC183A,9mo,train
rest10,ICC185,2mo,val
rest10,ICC187,2mo,val
rest10,ICC189,2mo,train
rest10,ICC191,2mo,train
rest10,ICC191A,9mo,val
rest10,ICC193,2mo,test
rest10,ICC193A,9mo,train
rest10,ICC195,2mo,train
rest10,ICC197,2mo,test
rest10,ICC201,2mo,test
rest10,ICC201A,9mo,train
rest10,ICC203,2mo,test
rest10,ICC205,2mo,val
