subject_id,age_group,videos_split,rest10_split
ICC103,2mo,train,
ICC103A,9mo,train,train
ICC105,2mo,test,train
ICC105A,9mo,train,test
ICC107,2mo,train,train
ICC107A,9mo,train,train
ICC111,2mo,train,train
ICC111A,9mo,train,
ICC113,2mo,train,train
ICC113A,9mo,val,
ICC115,2mo,train,val
ICC117,2mo,train,test
ICC123,2mo,train,val
ICC125,2mo,train,val
ICC127,2mo,val,test
ICC127A,9mo,train,train
ICC131,2mo,test,
ICC133,2mo,test,train
ICC133A,9mo,test,val
ICC135,2mo,train,train
ICC139,2mo,train,test
ICC139A,9mo,test,
ICC141,2mo,train,train
ICC145,2mo,test,train
ICC145A,9mo,train,
ICC147,2mo,train,test
ICC149,2mo,train,val
ICC151,2mo,train,
ICC153,2mo,val,train
ICC155,2mo,train,train
ICC155A,9mo,train,
ICC157,2mo,train,train
ICC159,2mo,test,val
ICC161,2mo,test,
ICC163,2mo,train,train
ICC165,2mo,val,train
ICC167,2mo,train,
ICC169,2mo,val,train
ICC177,2mo,test,train
ICC179,2mo,test,train
ICC179A,9mo,test,train
ICC183,2mo,train,train
ICC183A,9mo,train,train
ICC185,2mo,train,val
ICC187,2mo,test,val
ICC189,2mo,val,train
ICC191,2mo,val,train
ICC191A,9mo,val,val
ICC193,2mo,train,test
ICC193A,9mo,val,train
ICC195,2mo,train,train
ICC197,2mo,train,test
ICC199,2mo,train,
ICC201,2mo,train,test
ICC201A,9mo,train,train
ICC203,2mo,train,test
ICC205,2mo,train,val
ICC205A,9mo,train,train
ICC207,2mo,train,train
ICC211,2mo,val,train
ICC213,2mo,train,train
ICC217,2mo,val,train
ICC221,2mo,train,train
ICC221A,9mo,,test
ICC223,2mo,train,train
ICC225,2mo,train,train
ICC227,2mo,val,train
ICC229,2mo,train,test
ICC23,2mo,val,
ICC233,2mo,test,train
ICC235,2mo,train,val
ICC237,2mo,train,train
ICC239,2mo,train,
ICC239A,9mo,train,train
ICC241,2mo,train,train
ICC241A,9mo,test,
ICC243,2mo,val,
ICC243A,9mo,train,train
ICC253,2mo,train,train
ICC255,2mo,train,train
ICC257,2mo,train,test
ICC257A,9mo,train,train
ICC37,2mo,train,train
ICC43,2mo,test,
ICC43A,9mo,train,train
ICC47,2mo,test,val
ICC51,2mo,train,train
ICC51A,9mo,train,
ICC53,2mo,train,test
ICC53A,9mo,train,train
ICC55,2mo,val,train
ICC57,2mo,val,
ICC57A,9mo,train,
ICC59,2mo,train,train
ICC59A,9mo,train,
ICC63,2mo,train,train
ICC7,2mo,val,train
ICC75,2mo,val,train
ICC75A,9mo,train,
ICC7A,9mo,train,val
ICC81,2mo,val,train
ICC81A,9mo,test,
ICC83,2mo,train,train
ICC83A,9mo,val,test
ICC85,2mo,train,train
ICC85A,9mo,test,train
ICC87,2mo,test,train
ICC89,2mo,train,train
ICC91,2mo,train,train
ICC93,2mo,train,train
ICC97,2mo,train,
ICC97A,9mo,train,
ICN14,2mo,train,train
ICN14A,9mo,train,train
ICN18,2mo,test,
ICN2,2mo,train,train
ICN2A,9mo,train,
ICN46,2mo,val,
ICN48,2mo,train,train
ICN50,2mo,train,train
ICN8,2mo,train,train
ICN8A,9mo,train,test
IRC109,2mo,train,train
IRC119,2mo,val,
IRC119A,9mo,test,
IRC13,2mo,train,train
IRC17,2mo,train,
IRC17A,9mo,train,
IRC19,2mo,train,train
IRC19A,9mo,train,
IRC21,2mo,train,train
IRC25,2mo,test,
IRC27,2mo,train,
IRC27A,9mo,train,train
IRC29,2mo,train,test
IRC29A,9mo,train,val
IRC3,2mo,train,train
IRC31,2mo,train,train
IRC3A,9mo,train,
IRC41,2mo,train,train
IRC41A,9mo,val,test
IRC45,2mo,train,train
IRC49,2mo,val,
IRC61,2mo,train,val
IRC61A,9mo,test,
IRC67,2mo,train,
IRC67A,9mo,train,
IRC69,2mo,train,
IRC69A,9mo,train,train
IRC9,2mo,train,
IRC99,2mo,train,test
IRC9A,9mo,train,test
IRN1,2mo,train,train
IRN12,2mo,train,train
IRN1A,9mo,train,val
IRN20,2mo,train,train
IRN20A,9mo,test,train
IRN22,2mo,val,
IRN26,2mo,test,train
IRN26A,9mo,train,val
IRN30,2mo,val,train
IRN32,2mo,train,train
IRN34,2mo,train,val
IRN36,2mo,test,
IRN42,2mo,test,
IRN42A,9mo,train,
IRN44,2mo,train,val
IRN52,2mo,train,train
IRN60,2mo,train,test
IRN62,2mo,train,train
IRN62A,9mo,train,train
IRN64,2mo,train,train
IRN66,2mo,train,train
IRN68,2mo,train,train
IRN68A,9mo,train,
IRN72,2mo,train,train
IRN74,2mo,train,val
IRN76,2mo,val,train
IRN78,2mo,train,
ITT1,2mo,train,
